Grouping Function,Evaluation Function,Run,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Final Points,Shapley Values
random,l2_norm,0,10.89771589455832,,6.238220020908312,0.6557688943439614,"[0.7668346  0.480842   0.16753313 0.2094879  0.32616088 0.13102812
 0.11468584 0.0869587  0.01690205 0.36487792 0.29138866 0.40487283
 0.37158203 0.30890732 0.38721269 0.36437062 0.43664209 0.27269668
 0.24791798 0.35163832 0.68376632 0.59045241 0.32274664 0.29973642
 0.76621961 0.14696358 0.23933663 0.08726998 0.5456047  0.33558862
 0.49097514 0.54244071 0.25278996 0.11922296 0.0801796  0.38159624
 0.60108885 0.27603317 0.38408963 0.14485945 0.17261505 0.16780523
 0.23187705 1.         0.12078047 0.16675268 0.26411604 0.05323552
 0.19645664 0.32468179 0.13144681 0.33920439 0.14504225 0.22532802
 0.1371355  0.14669944 0.26181644 0.1592733  0.38654856 0.16552924
 0.32510946 0.         0.21808433 0.7206136  0.40324374 0.08216834
 0.16002283 0.16219733 0.19410036 0.1653769  0.38674879 0.40521752
 0.16855742 0.15114247 0.17503495 0.02544522 0.37877471 0.14672824
 0.10921678 0.14282077 0.21421627 0.23819421 0.42834381 0.26675406
 0.22693659 0.05406407 0.34089727 0.35734676 0.85263588 0.6003234
 0.11421587 0.07446353 0.30654701 0.50945723 0.23709582 0.2007959
 0.03926832 0.0627139  0.25290573 0.09461927]","[0.64962767 0.71825584 0.36291486 0.         0.50780741 0.28550889
 0.37141009 0.28897778 0.296225   0.57271869 0.41439152 0.77656286
 0.73260787 0.5564954  0.58121693 0.7870185  0.71521739 0.41068032
 0.4664523  0.51604497 0.72915621 0.89627233 0.57689987 0.31232877
 0.63724564 0.4974609  0.82025234 0.6340471  0.62740267 0.53388144
 0.3964334  0.7426312  0.39740178 0.38910246 0.27501743 0.57506735
 0.77066052 0.73512475 0.64017396 0.20287085 0.33258916 0.35667861
 0.47106291 1.         0.2032317  0.33426127 0.48313338 0.60293412
 0.5180177  0.36890018 0.36138058 0.54890308 0.58855738 0.34231001
 0.46896121 0.60149937 0.45356309 0.54494274 0.50554671 0.22929407
 0.28699918 0.37925009 0.23615443 0.69160805 0.44117477 0.21879319
 0.37595177 0.3017483  0.25548099 0.40559219 0.70376561 0.55779902
 0.17243211 0.2709044  0.32259373 0.4083172  0.69337766 0.29500817
 0.41849996 0.37324432 0.1903219  0.51449921 0.63803983 0.72522316
 0.03868029 0.22075304 0.30100893 0.52040003 0.95784696 0.59331692
 0.53576034 0.52679085 0.50314639 0.66193103 0.16981381 0.50925182
 0.10467867 0.58623111 0.63283296 0.29845902]"
random,l2_norm,1,9.80897473048708,62.0,2.6567763322631954,0.6976287245303295,"[0.31012071 0.04776912 0.2877761  0.21069485 0.12208453 0.32689148
 0.09966357 0.05657962 0.4392493  0.17080166 0.15632659 0.1694565
 0.0342164  0.25711342 0.30236892 0.1998612  0.03065783 0.34631779
 0.26673399 0.18935456 0.32645342 0.1459241  0.26165108 0.18531282
 0.28460845 0.16378499 0.06554588 0.13129833 0.25890298 0.45594131
 0.09953728 0.42689735 0.20506785 0.25567666 0.20468298 0.17578015
 0.23259286 0.46107973 0.07458986 0.24367074 0.03646348 0.01718535
 0.28046667 0.28370509 0.18420125 0.07876418 0.16709692 0.38498252
 0.11834711 0.26601285 0.24962391 0.05405858 0.08201955 0.14940801
 0.2219453  0.05438107 0.11702954 0.18469525 0.13850972 0.18298057
 0.20535056 0.21184302 0.22629685 0.37402771 0.03383168 0.5333844
 0.22637382 0.25168888 0.21700887 0.22490416 0.25207866 0.23107016
 0.18958325 0.21114583 0.05203133 0.33316987 0.44000808 0.07378801
 0.1998425  0.18433531 0.19649867 0.21390317 0.11861465 0.16383307
 0.54166264 0.20282001 0.         0.42352991 0.22734471 0.43194735
 0.18478206 0.13776601 0.33558485 0.06661311 0.09664227 1.
 0.57449105 0.32157938 0.15655586 0.23331986]","[0.5118369  0.01791026 0.28107967 0.22008427 0.28837486 0.29855791
 0.26527153 0.108094   1.         0.35354046 0.48898266 0.1052545
 0.18507456 0.70921122 0.42067679 0.32948932 0.52040889 0.51908539
 0.52359185 0.         0.49461203 0.24869226 0.2263607  0.26466894
 0.37837003 0.48177732 0.61287889 0.42115331 0.39150182 0.61077142
 0.26735381 0.72555535 0.21223859 0.25520479 0.14375146 0.12320351
 0.40798154 0.62714687 0.12453845 0.51711197 0.28953565 0.08692103
 0.54722209 0.43136868 0.26451371 0.10807774 0.19544903 0.59170513
 0.37092298 0.34913943 0.52707168 0.1831388  0.12647925 0.24933773
 0.41418457 0.28100672 0.15212785 0.43733025 0.16765143 0.1456388
 0.11199199 0.28452106 0.33851286 0.5418739  0.31025487 0.97828339
 0.33628106 0.61316523 0.16752054 0.30126585 0.30916476 0.13158722
 0.38096754 0.24178228 0.35869667 0.21457246 0.72188361 0.17942409
 0.21638075 0.31142416 0.29780841 0.38854947 0.1450748  0.33598131
 0.77780003 0.62116825 0.20296468 0.83605583 0.34148727 0.85548461
 0.38700877 0.43413951 0.38083835 0.40987998 0.31727839 0.90949088
 0.65361178 0.41701247 0.44968861 0.29793091]"
random,l2_norm,2,7.567242247767307,5.0,2.8054019428273875,0.5258139152988528,"[1.         0.37983127 0.74980145 0.38061378 0.58220665 0.72508839
 0.42353001 0.48498319 0.91808683 0.13017162 0.57782484 0.04011366
 0.45492796 0.67076589 0.74458141 0.48185696 0.         0.71178672
 0.26147766 0.83765279 0.18120875 0.50488309 0.42909268 0.45899676
 0.54996488 0.26883639 0.54023076 0.80933386 0.88730758 0.48592707
 0.91154623 0.9407702  0.19315409 0.29535944 0.46614969 0.7035293
 0.43674734 0.96890779 0.19033202 0.66710038 0.6153024  0.79847768
 0.59210737 0.16320943 0.77156828 0.48853    0.30247702 0.65062869
 0.124197   0.1844193  0.62158378 0.61035558 0.15664569 0.41380761
 0.43680886 0.29597658 0.55969638 0.7351298  0.34871716 0.60486908
 0.19404758 0.34535931 0.37858102 0.98213958 0.3163584  0.29848513
 0.61858528 0.42994519 0.29387622 0.63180165 0.59566589 0.26904456
 0.08938524 0.55939235 0.29325513 0.67549331 0.55762081 0.15625626
 0.13603201 0.88164908 0.59343618 0.3605672  0.28767005 0.61570601
 0.74478968 0.39195628 0.48045115 0.57111044 0.30504054 0.80327714
 0.58368407 0.64436522 0.18722329 0.41463238 0.70445146 0.75433971
 0.80512694 0.50767091 0.25916668 0.27267952]","[0.70132039 0.26710314 0.37245603 0.34760064 0.34020249 0.63290699
 0.44958816 0.32739218 0.85707756 0.00442542 0.49796977 0.41306925
 0.2902861  0.84030948 0.46910907 0.6557561  0.26008574 0.32019135
 0.18901131 0.74973562 0.33799781 0.77183851 0.04694759 0.90831723
 0.07357333 0.27829222 0.65052402 0.92186761 0.54935932 0.74323832
 0.53311063 1.         0.12136211 0.32813882 0.56142013 0.42829852
 0.67427341 0.60495289 0.25275553 0.62548745 0.43361083 0.25761374
 0.74329154 0.25677524 0.47192172 0.66723923 0.21407707 0.8084703
 0.20275659 0.37936623 0.39672412 0.3352623  0.33336473 0.12056594
 0.06423076 0.48785038 0.41534775 0.37585832 0.31084488 0.57927524
 0.5354516  0.47448243 0.5464623  0.67909164 0.2840998  0.27146305
 0.43857588 0.27727299 0.         0.81475181 0.85286641 0.21550426
 0.37362585 0.86277195 0.20658375 0.43247299 0.61492795 0.16562215
 0.28305947 0.60893812 0.36123231 0.54175952 0.44235977 0.66616477
 0.86096806 0.04648066 0.56040581 0.41012248 0.93092392 0.85052287
 0.84537778 0.63771761 0.64069037 0.56869452 0.47324404 0.6562881
 0.63251808 0.7443071  0.53078583 0.37085401]"
random,l2_norm,3,8.089765494210447,8.0,3.103188228461905,0.5093795191947182,"[0.39817908 0.69777479 0.28770577 0.07961927 0.5099148  0.3141364
 0.03409898 0.35658102 0.14569153 0.27987999 0.26727685 0.58081069
 0.30821143 0.31323691 0.4584128  0.37561642 0.37528876 0.12343766
 0.23515733 0.2211924  0.68176127 0.23222187 0.45316424 0.42595383
 0.19276705 0.25221774 0.58285991 0.35894993 0.9168637  0.49291184
 1.         0.38366327 0.20265467 0.24230842 0.4918592  0.79872429
 0.13850957 0.12736901 0.26256069 0.44511825 0.35509748 0.63288679
 0.3403298  0.22644219 0.07785686 0.23803939 0.17605956 0.43550309
 0.10558349 0.18589579 0.22325964 0.55996403 0.3033316  0.03878624
 0.27036569 0.13316936 0.56485432 0.50254284 0.35149313 0.22036858
 0.17809773 0.26910067 0.6272145  0.08442834 0.14700304 0.15479888
 0.2132258  0.27185363 0.         0.42043793 0.39958551 0.13298734
 0.37045093 0.69532856 0.28112987 0.759756   0.11160871 0.32168796
 0.48217196 0.63040049 0.15249465 0.36524299 0.13369454 0.85082238
 0.15617296 0.70582356 0.16828911 0.26482811 0.62178113 0.36996241
 0.43825459 0.36013577 0.5535592  0.63398885 0.24684495 0.32703171
 0.52602377 0.2713802  0.69921552 0.23650856]","[0.30777444 0.7406735  0.38626073 0.56901754 0.75947008 0.58782119
 0.46272826 0.48187445 0.37035961 0.56737331 0.45983631 0.68663952
 0.62099844 0.78715677 0.52915733 0.63455138 0.21525974 0.64501801
 0.27386634 0.52329136 0.57731452 0.26253259 0.6552964  0.80550461
 0.47306432 0.34510095 0.72988977 0.57083151 0.70441552 0.68563494
 0.75572621 0.65809012 0.33928168 0.69839973 0.56131232 0.75518113
 0.59822853 0.         0.31467522 0.52215471 0.35152937 1.
 0.62404527 0.45142095 0.37235746 0.77827424 0.36549124 0.57163333
 0.58872719 0.20606886 0.62785392 0.75598279 0.4612143  0.90671102
 0.50390353 0.41261088 0.42028975 0.62472558 0.77551721 0.33993669
 0.56796066 0.31944411 0.78230167 0.18138525 0.29361795 0.14104622
 0.33570398 0.6313523  0.41924548 0.61546078 0.60579976 0.46738016
 0.39610034 0.42922219 0.3628793  0.44174163 0.36967976 0.53940269
 0.76063653 0.61195968 0.21452872 0.47470404 0.63946877 0.70003346
 0.21442287 0.64928902 0.50939798 0.4686447  0.68745059 0.6565352
 0.64730216 0.56026361 0.53728244 0.89158863 0.25875034 0.40850029
 0.61174034 0.38788066 0.6713139  0.29102851]"
random,l2_norm,4,13.172315992715767,,5.6577006695830425,0.6182698069045444,"[0.25596072 0.21037949 0.40239412 0.21990816 0.2894792  0.53175213
 0.14116757 0.44487581 1.         0.23072645 0.17775968 0.11621625
 0.26730795 0.44560596 0.30594385 0.13040405 0.23386423 0.28820315
 0.70433176 0.17772919 0.22647258 0.21062408 0.16357934 0.30134597
 0.18946445 0.29906986 0.26604578 0.38507136 0.13728028 0.23141914
 0.40630187 0.10876987 0.69151872 0.20128311 0.28538213 0.19583635
 0.30734987 0.21283756 0.48385436 0.11287295 0.31691746 0.16366554
 0.15528361 0.28045714 0.15035919 0.08413502 0.07150186 0.1345815
 0.64293397 0.13530048 0.22655998 0.48516954 0.45616915 0.04943938
 0.05551781 0.24152386 0.25342819 0.16620784 0.11215533 0.28945498
 0.38048592 0.41655098 0.11746811 0.03580288 0.32982024 0.12943515
 0.71396214 0.34283246 0.29092534 0.44982192 0.31306325 0.21601029
 0.19643496 0.20996622 0.38235211 0.13088182 0.10790534 0.52847313
 0.41467074 0.24936385 0.31545746 0.0961352  0.34290348 0.11746192
 0.24531819 0.96120455 0.67283398 0.11513627 0.44920875 0.08115208
 0.82813791 0.30988051 0.32894229 0.         0.15653903 0.33326228
 0.7622596  0.57401351 0.40889454 0.20961866]","[0.33105744 0.10929091 0.11331883 0.27865196 0.24870404 0.57553809
 0.40480452 0.22877846 1.         0.11065704 0.07086696 0.5194276
 0.31735161 0.38733684 0.4673972  0.26793868 0.44076208 0.56411514
 0.83575825 0.53144679 0.30622046 0.01971118 0.         0.20517456
 0.34021057 0.21346133 0.12779536 0.64894122 0.26592655 0.47950668
 0.40480109 0.16679075 0.78054792 0.28541129 0.33191436 0.23564301
 0.33977661 0.85187029 0.47458168 0.37352139 0.34467725 0.46564081
 0.63364609 0.24605247 0.28766105 0.41907353 0.14509067 0.08449121
 0.84703482 0.46767061 0.35437011 0.73504554 0.38388833 0.32217722
 0.40163416 0.57278391 0.35851311 0.35499709 0.31553527 0.19840941
 0.50510023 0.22371057 0.08660927 0.26354692 0.79922584 0.19031792
 0.77755871 0.65790169 0.57775488 0.27971588 0.2167344  0.48452098
 0.27443319 0.33729143 0.87338329 0.33916799 0.19545297 0.73659575
 0.11837714 0.64134181 0.29187299 0.59112059 0.34451852 0.3357179
 0.23749277 0.94572837 0.98581137 0.1889963  0.70779792 0.06763557
 0.70256951 0.16771037 0.2277557  0.45669105 0.40443233 0.20063134
 0.85561239 0.38549484 0.70389768 0.31304883]"
random,l2_norm,5,7.552509263035971,7.0,2.153547515193215,0.4645167352618242,"[0.53996338 0.59041865 0.77607169 0.23212244 0.06965232 0.34525688
 0.35403526 0.336715   0.65025843 0.09394425 0.72004486 0.20529097
 0.20203605 0.35206786 0.24884867 0.36472303 0.20074889 0.33495637
 0.23293862 0.90741647 0.21251938 0.36853793 0.22399825 0.39922709
 0.35113626 0.27664435 0.43139842 0.57006306 0.7720211  0.70670235
 0.19556261 0.73332397 0.10827368 0.         0.28911357 0.48876979
 0.74824443 0.69062481 0.24591572 0.3362923  0.42774914 0.27790397
 0.56523158 0.17336257 0.39540706 0.54442563 0.12351546 0.82508742
 0.26070873 0.37157324 0.59098553 0.27750041 0.21625717 0.31072897
 0.23453217 0.3831802  0.30492912 0.25084736 0.15078839 0.56747081
 0.26282231 0.29650557 0.46629144 1.         0.33319693 0.20187822
 0.57076241 0.18182959 0.23923652 0.55212693 0.62886124 0.28691131
 0.2849656  0.53588883 0.0965837  0.41524268 0.59028231 0.22388329
 0.21282951 0.57917725 0.28802196 0.36906191 0.13157821 0.28462041
 0.69210075 0.15347728 0.54168908 0.51893518 0.42028937 0.5411415
 0.39711448 0.54386477 0.17292928 0.32393978 0.35041691 0.37834857
 0.77705315 0.59013812 0.35953836 0.15743227]","[0.7573247  0.47880005 0.54017592 0.50024523 0.55460756 0.61137505
 0.18977128 0.21070653 1.         0.14761459 0.8772021  0.19241136
 0.39803552 0.82126009 0.74113907 0.74013043 0.09678625 0.24024354
 0.54082864 0.54731477 0.42695151 0.54279642 0.57179596 0.68625717
 0.21536817 0.44544224 0.55292989 0.6964471  0.23010816 0.67956704
 0.60273913 0.59270435 0.54148135 0.60099943 0.58360348 0.91916445
 0.93196489 0.73721052 0.22567646 0.56817724 0.66179095 0.44032559
 0.80023972 0.08871878 0.78146511 0.46123234 0.22810445 0.80737539
 0.40011695 0.67053978 0.72852133 0.65248139 0.20539633 0.00323319
 0.72868795 0.56438931 0.84251292 0.85218798 0.33920761 0.53912146
 0.70287165 0.2898316  0.85179458 0.83138556 0.49475489 0.57209506
 0.70451626 0.55310461 0.17401465 0.46992328 0.81537484 0.45123478
 0.30309309 0.49697758 0.49319694 0.55116679 0.67109134 0.40189306
 0.         0.56871195 0.24120438 0.39315609 0.47778592 0.72649093
 0.65177744 0.13458105 0.63023926 0.95727577 0.40533414 0.57299394
 0.51427925 0.82237071 0.74113745 0.55446928 0.38167565 0.72252784
 0.73221146 0.65582656 0.53603815 0.36659753]"
random,l2_norm,6,10.028383534959547,30.0,4.420120952820737,0.5111878183048282,"[0.38205786 0.58500102 0.29399202 0.13817684 0.36318849 0.36827718
 0.21978636 0.40067636 0.18601377 0.24554129 0.30305759 0.3786042
 0.3106088  0.33979164 0.35594862 0.33116414 0.43162266 0.18681632
 0.22813187 0.26640409 0.89929667 0.33898326 0.20746703 0.33039849
 0.33677654 0.26006006 0.19296818 0.17631381 0.36827799 0.53533926
 0.16712053 0.60795114 0.33718392 0.24358151 0.19409166 0.33127193
 0.83558426 0.42182093 0.16297384 0.21684297 0.13027567 0.49529131
 0.57210018 0.52614728 0.         0.42500554 0.37558717 0.35743958
 0.4560269  0.15873975 0.3068967  0.32429009 0.47871991 0.20317778
 0.22915219 0.31497294 0.24254553 0.28831858 0.38701514 0.23922735
 0.39173499 0.27430759 0.11918756 0.39847088 0.07791142 0.009756
 0.21636849 0.13063307 0.24990536 0.35070021 0.41887041 0.21129162
 0.17871258 0.35853154 0.34600373 0.28104085 0.28298042 0.2072556
 0.17419193 0.49824765 0.14745134 0.46824751 0.39046141 0.44235212
 0.08856281 0.35288279 0.13556082 0.21230293 0.38078601 0.14060074
 0.19083059 0.43148016 1.         0.48588248 0.20224348 0.15353188
 0.03700175 0.15500845 0.29380886 0.48645825]","[0.26540921 0.64439667 0.55589838 0.51186148 0.62338093 0.72057763
 0.19138856 0.38428123 0.39382437 0.55683508 0.2968475  0.10798381
 0.90609597 0.65365261 0.60652349 0.60248222 0.65340491 0.15579201
 0.20607689 0.42280778 0.72300385 0.28069136 0.02159017 0.62798767
 0.49220021 0.30413581 0.62005297 0.28840722 0.64810377 0.56094924
 0.37432187 0.59288802 0.64429786 0.48049194 0.43167647 0.47476249
 1.         0.64976011 0.13097434 0.26694864 0.48858895 0.5566975
 0.55956609 0.63462988 0.06770223 0.52791593 0.50364993 0.22979798
 0.33855507 0.31382162 0.29977095 0.64362051 0.55094395 0.22670928
 0.2988922  0.40269596 0.24602105 0.59880163 0.55498344 0.25541001
 0.54538772 0.36019475 0.42892778 0.64534159 0.12108971 0.25514194
 0.11426806 0.         0.32468645 0.45063594 0.37969385 0.25085785
 0.424343   0.5630235  0.44940923 0.69088228 0.23149991 0.3705082
 0.66168567 0.52498536 0.28345993 0.54497328 0.27376207 0.3136301
 0.48982723 0.07750263 0.45464554 0.31999225 0.64155451 0.42213253
 0.64443674 0.3945518  0.66979855 0.40105934 0.51604979 0.37336878
 0.29623259 0.4679034  0.48981739 0.46969934]"
random,l2_norm,7,10.95406784634211,,5.103889835319054,0.4966726096415256,"[0.29790523 0.69256535 0.20113222 0.20179436 0.86776502 0.38748097
 0.00405713 0.43827609 0.07840606 0.25904422 0.20634561 0.23459749
 0.60147788 0.34483332 0.45536199 0.62017892 0.57141821 0.15406383
 0.24227515 0.49847626 0.95138496 0.66915998 0.16222617 0.98764022
 0.51560659 0.36589727 0.07344231 0.37965902 0.51429835 0.59134388
 0.20142669 0.72935262 0.20561331 0.23849807 0.1958038  0.47839326
 0.512581   0.22587897 0.24543181 0.13790603 0.49190691 0.73558569
 0.80017321 0.13719181 0.36585884 0.40446684 0.52387943 0.26657735
 0.29434649 0.09938129 0.30328408 0.48399829 0.30223709 0.25331648
 0.21726198 0.51811322 0.71636214 0.394559   0.52434594 0.55349935
 0.30075492 0.16027684 1.         0.14994262 0.21856231 0.20922262
 0.23928661 0.3469472  0.13109917 0.48732622 0.30481154 0.32041645
 0.48027944 0.51788798 0.41430418 0.5169764  0.15045098 0.05167616
 0.56395798 0.62190147 0.32849931 0.64136248 0.33175791 0.63667824
 0.         0.4074508  0.24084035 0.43576626 0.81379403 0.35514009
 0.49516348 0.66304934 0.86025605 0.59746699 0.29845497 0.31494575
 0.25612305 0.35640681 0.5978137  0.56555419]","[0.38954729 0.9328175  0.63931687 0.72220527 0.58771745 0.38297494
 0.2759641  0.78721123 0.62598436 0.46916785 0.48931582 0.61679716
 0.74157397 0.60613199 0.60579348 0.52187165 0.42915238 0.25008606
 0.36321241 0.84468452 0.67057836 0.54995064 0.49304286 0.53944535
 0.67582015 0.63890095 0.47379704 0.3498163  0.64861829 0.78954117
 0.         0.95446321 0.16326874 0.45171101 0.50782702 0.27639407
 0.6031282  0.56917517 0.61115472 0.56554586 0.5159073  0.46591696
 0.8340022  0.07337082 0.40305863 0.89735587 0.78100431 0.68681674
 0.41988417 0.20838095 0.50251507 0.51136327 0.51941072 0.16299897
 0.34414877 0.78773673 0.87083768 1.         0.56412834 0.69712909
 0.35701646 0.59440428 0.99851228 0.54446583 0.53685322 0.01436102
 0.24663224 0.27065011 0.67830266 0.7937671  0.41419259 0.59458225
 0.33194794 0.38801721 0.41524    0.30287875 0.17482657 0.83483314
 0.76422165 0.80385054 0.82464046 0.72472188 0.6046324  0.82047744
 0.12146554 0.49455262 0.31676555 0.46073971 0.95312673 0.562118
 0.43828589 0.61954935 0.55490908 0.77541475 0.52688208 0.46522016
 0.31616013 0.75873792 0.48667454 0.58991138]"
random,l2_norm,8,10.187018434983823,77.0,4.435700891841017,0.5110084843288631,"[0.39735065 0.23233851 0.24368591 0.25179463 0.17663533 0.30601456
 0.38419219 0.48152642 0.54750378 0.40995715 0.28097621 0.31479176
 0.32651491 0.29421963 0.31002999 0.38220445 0.31659048 0.48262682
 0.96590834 0.29138314 0.17493366 0.34786379 0.37266053 0.212891
 0.44281337 0.48503683 0.56426666 0.39069949 0.32873138 0.20660697
 0.43091076 0.30821645 0.40264635 0.4707148  0.31687196 0.40547612
 0.27243252 0.         0.50124288 0.41641687 0.33689033 0.20825623
 0.20795585 0.13353332 0.84836554 0.42487785 0.24478374 0.36019692
 0.27514659 0.31423433 0.15651658 0.41729171 0.24733887 0.32176885
 0.20103264 0.26764298 0.29924702 0.41621762 0.22538665 0.32423871
 0.2475271  0.17228865 0.29926309 0.27505078 0.52858101 0.37323482
 0.29458058 0.25845678 0.39787658 0.23057972 0.24718873 0.34400053
 0.268945   0.24423461 0.41834728 0.1247186  0.49956363 0.33872742
 0.28172313 0.31999035 0.38208511 0.43787355 0.11937982 0.30391006
 0.4435446  0.67570289 0.30108993 0.32735909 0.16572879 0.67850202
 0.39255803 0.20328628 0.19859758 0.30586824 0.2699083  1.
 0.57100691 0.31244705 0.30575018 0.32576996]","[0.49595873 0.14695957 0.44011069 0.58664162 0.30585434 0.58588088
 0.3383798  0.54910013 0.87005067 0.63097504 0.62520184 0.52289958
 0.2873396  0.72007471 0.62660682 0.52128678 0.32069568 0.76853067
 0.6476276  0.47408381 0.38249771 0.57322033 0.3935201  0.32762834
 0.35230509 0.56540549 0.54348421 0.7788697  0.29771098 0.4567179
 0.40253121 0.20351976 0.80960066 0.62827177 0.55919327 0.65491923
 0.46409965 0.45921433 0.63543283 0.39975277 0.6441226  0.22537636
 0.3075358  0.47045452 0.85172459 0.50327411 0.31667716 0.57957957
 0.46766783 0.65033788 0.63901162 0.48144124 0.45286149 0.25999956
 0.61929995 0.57297988 0.56447376 0.47272363 0.42934695 0.82795704
 0.49514504 0.44195491 0.49965501 0.37438955 0.52236901 0.5211075
 0.48595138 0.3138681  0.35623833 0.35022128 0.4524511  0.56686376
 0.49438485 0.25944751 0.57011072 0.3335207  0.75234853 0.61798904
 0.47508729 0.         0.86317164 0.42452743 0.47272094 0.3764619
 0.434657   0.85381542 0.77090874 0.5038639  0.44945656 1.
 0.49395862 0.65982065 0.3355588  0.31311946 0.50434848 0.85569479
 0.86471388 0.57246471 0.56916174 0.22886698]"
random,l2_norm,9,10.398225383474445,20.0,4.164155229030468,0.4380675268937132,"[0.56287229 0.43081865 0.84526074 0.26267539 0.63762224 0.67321001
 0.37727266 0.5177741  0.51149253 0.45119929 0.42085087 0.30514668
 0.52758242 0.54806669 0.44674616 0.54729807 0.606269   0.2554336
 0.32783467 0.23720617 0.85458835 0.18051075 0.69098657 0.75820597
 0.53389505 0.27059708 0.44534547 0.60129376 0.53398407 0.26538996
 0.46068779 0.50387284 0.86267981 0.4256873  0.37936277 0.48500623
 0.64570362 0.40125307 0.28147335 0.38475283 0.41356969 0.5422948
 0.43092865 0.34057245 0.24000985 0.31032055 0.24744486 0.46307984
 0.44327162 0.31992528 0.48926893 1.         0.32576206 0.31209588
 0.36918342 0.48097059 0.50308452 0.35046858 0.62599838 0.40628926
 0.40100787 0.23294489 0.44143272 0.65033084 0.36102016 0.51328541
 0.52945015 0.61764769 0.30543766 0.66435418 0.69066477 0.3353787
 0.         0.34126565 0.25808016 0.82825998 0.32632439 0.41052991
 0.51327819 0.66017498 0.29354591 0.68591489 0.54943671 0.68136651
 0.26399601 0.18440161 0.31806353 0.23401213 0.51901389 0.63952547
 0.60498932 0.6601863  0.41619872 0.577714   0.63343313 0.53453335
 0.43678681 0.50771891 0.6695947  0.39818214]","[0.73003528 0.80630329 0.85709705 0.42428035 0.61155834 0.98362943
 0.58185125 0.60215046 0.477543   0.77994393 0.7454556  0.30847176
 0.54280896 1.         0.7569411  0.92799722 0.60251903 0.50255983
 0.44600348 0.56192755 0.58701288 0.51273012 0.65140296 0.95084674
 0.61509643 0.77000664 0.60115461 0.71718571 0.72801278 0.48285834
 0.62974888 0.4480793  0.58392535 0.37269973 0.6523151  0.65799318
 0.50194932 0.62171427 0.50446729 0.22500203 0.52013987 0.52036806
 0.85673758 0.50674061 0.59399466 0.5442183  0.57598015 0.8109616
 0.6503476  0.15513851 0.32392363 0.78488839 0.5582041  0.50247446
 0.83140021 0.68472903 0.77875416 0.2710319  0.19124821 0.34236775
 0.24132957 0.77071399 0.24599266 0.93621154 0.42774388 0.32533559
 0.70401581 0.41361771 0.53428683 0.74618741 0.69846165 0.54139806
 0.19251214 0.71084603 0.27444365 0.82765985 0.28726973 0.31431826
 0.66818185 0.63289598 0.13117319 0.5657369  0.48892045 0.9159797
 0.740491   0.         0.75757945 0.4949719  0.68783324 0.84878874
 0.75444204 0.73556406 0.64615729 0.72111437 0.5124081  0.33762319
 0.48155483 0.6127138  0.78655598 0.90912709]"
