num_users,num_groups,Pearson Correlation,Convergence Accuracy (final distance)
10,2,0.607482163357929,5.08605943022379
10,3,0.8275619094963723,5.0569152126216155
10,4,0.8558462078355548,4.8941958188224515
10,5,0.8718455587765509,5.065044330327379
20,2,0.5047338118020233,4.807657258765356
20,3,0.7264734451151915,4.796577425505537
20,4,0.7092602414758086,4.469427839568047
20,5,0.7696622621043719,4.430046010464275
25,2,0.44982914534882845,4.824015696665018
25,3,0.6948656408051178,4.553492948990895
25,4,0.6628369093943448,4.512814979182727
25,5,0.7419244595480495,4.329413987329679
50,2,0.29980883496265837,4.780114716085199
50,3,0.4927985167857717,4.611159900158442
50,4,0.4409186622559168,4.3897230805584195
50,5,0.5155426088323656,4.272430013200229
75,2,0.2144243915510345,5.028977304060396
75,3,0.4009465764296987,4.882808694422285
75,4,0.34627322449156084,4.630233146859731
75,5,0.4214866582876158,4.45595532273026
100,2,0.1641754141229859,5.114325552117737
100,3,0.3131040139935408,4.836267985950426
100,4,0.26717245203541856,4.567448922599934
100,5,0.3359269788843356,4.48083831741456
