Grouping Function,Evaluation Function,Run,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Incorrect Candidate Selection (%)
random,l2_norm,0,10.961963670237635,18.0,3.581692362002791,0.7988148559631535,8.0
random,l2_norm,1,12.576477713554285,16.0,3.587449654473437,0.8675942251375637,12.0
random,l2_norm,2,9.197151638959397,9.0,2.395132220759012,0.8848273972222882,6.0
random,l2_norm,3,11.175089720464019,15.0,3.3758535362681905,0.9653194093150251,5.0
random,l2_norm,4,12.483204768185114,18.0,3.565848551621068,0.8751112122175655,8.0
random,l2_norm,5,11.567076106949772,,5.9001963012616025,0.9029470629355416,12.0
random,l2_norm,6,6.563869215727585,6.0,3.309253764921683,0.8821798827898764,7.000000000000001
random,l2_norm,7,10.858077549933391,27.0,4.295731431821929,0.8633143610308398,18.0
random,l2_norm,8,10.213279334565655,12.0,3.1932228605658595,0.8150099477536358,12.0
random,l2_norm,9,13.608864971770801,,6.786086740391251,0.9541057456949645,8.0
random,l2_norm,10,8.728339913219065,8.0,2.1623186132100627,0.8902271764504163,4.0
random,l2_norm,11,11.012284645504261,11.0,2.368125132574369,0.8919044310188506,4.0
random,l2_norm,12,12.334643276875813,22.0,4.32445499822445,0.8586335907577244,8.0
random,l2_norm,13,12.084424864495892,26.0,3.8109049417972325,0.9303460782364434,2.0
random,l2_norm,14,9.493880849778504,15.0,3.581978309781324,0.8218573861711296,5.0
random,l2_norm,15,12.449943407091778,27.0,3.6716694463585515,0.8867964796063345,3.0
random,l2_norm,16,10.131350461421755,13.0,2.944024819452402,0.9547801596618816,9.0
random,l2_norm,17,10.680069418165349,16.0,3.448895560114327,0.8261185875839501,7.000000000000001
random,l2_norm,18,9.707174162549338,10.0,2.9657937977006794,0.8724067022759482,7.000000000000001
random,l2_norm,19,11.787305932950279,28.0,4.873119041777266,0.8288054907560182,10.0
random,l2_norm,20,9.440064166889421,14.0,3.8280788357353073,0.9195569814557653,10.0
random,l2_norm,21,9.819887505647856,13.0,3.78559497679105,0.8407816607478084,5.0
random,l2_norm,22,14.606005060775676,40.0,5.377128186841376,0.9082479790152707,10.0
random,l2_norm,23,11.10935105453225,18.0,4.147554991249617,0.8510904973464405,12.0
random,l2_norm,24,7.461670428727028,7.0,2.696520179471742,0.8630409725096795,6.0
random,l2_norm,25,9.740734285029294,28.0,4.478217731414286,0.7984563207265359,15.0
random,l2_norm,26,11.98472757006047,51.0,3.9793786989958577,0.7535868679476793,9.0
random,l2_norm,27,11.678474889277618,18.0,3.453557233975365,0.85513267936502,10.0
random,l2_norm,28,10.908072272894383,,7.248392118234768,0.9058094855593918,14.000000000000002
random,l2_norm,29,11.45191873541763,21.0,4.27740898027225,0.9180784444760668,7.000000000000001
random,l2_norm,30,11.65702634131542,15.0,3.7784225380152128,0.8722370301244844,9.0
random,l2_norm,31,8.717620605761628,7.0,1.9660906039611463,0.8796290121032377,5.0
random,l2_norm,32,10.855767306818352,14.0,3.1459808851990982,0.8598836319570017,8.0
random,l2_norm,33,9.92597379900388,17.0,3.7221075205513943,0.8888838061922384,8.0
random,l2_norm,34,8.682938669296552,25.0,3.586537366120032,0.8921660686440736,10.0
random,l2_norm,35,11.549524068878348,,6.576864336889111,0.7093555225391475,13.0
random,l2_norm,36,14.259634617734658,,6.509673045338631,0.9018431685883453,9.0
random,l2_norm,37,11.30939536772285,29.0,3.421279738901138,0.9067091313706838,6.0
random,l2_norm,38,9.049528569944373,8.0,2.6197391538484585,0.9380656949186952,7.000000000000001
random,l2_norm,39,8.289906863440994,8.0,2.496975698219191,0.9417729503609447,4.0
random,l2_norm,40,9.258435797038755,28.0,4.206464400839368,0.8369450207907596,13.0
random,l2_norm,41,8.185493161349248,6.0,3.056235192370028,0.8050285778559281,9.0
random,l2_norm,42,11.80950925529633,35.0,4.00735987145076,0.9118782153129955,10.0
random,l2_norm,43,10.505320836181347,10.0,2.3888001608103275,0.7952564384016937,8.0
random,l2_norm,44,11.114765848347057,19.0,3.305460221895812,0.8018904282121111,13.0
random,l2_norm,45,10.481963811001,13.0,3.8965090027252227,0.8660700701300589,7.000000000000001
random,l2_norm,46,11.129772274528115,12.0,2.2782485992464365,0.8388226738950653,6.0
random,l2_norm,47,9.924600018692075,48.0,4.776211533044766,0.9805725951742726,8.0
random,l2_norm,48,8.384700921754884,17.0,5.273791761143833,0.8766467545070664,15.0
random,l2_norm,49,9.883418533964907,11.0,2.789830456361131,0.9480626180616906,11.0
random,dot_product,0,7.919228161036127,5.0,4.06533216702122,0.8431659218821019,5.0
random,dot_product,1,8.533093412897777,11.0,5.17974461705775,0.8106799939575478,5.0
random,dot_product,2,10.200935732693042,65.0,5.062054567903117,0.9146209616633687,9.0
random,dot_product,3,11.89672014670615,20.0,3.903648319066041,0.8907057256134782,7.000000000000001
random,dot_product,4,9.431819330609812,14.0,3.840097307086543,0.7053939372941782,3.0
random,dot_product,5,10.593310955237284,20.0,4.843090626083634,0.8540492249202071,8.0
random,dot_product,6,9.83107159305436,16.0,4.469394997317168,0.825483724078024,15.0
random,dot_product,7,10.98684114113617,38.0,5.3083439596269955,0.7430146827303914,5.0
random,dot_product,8,9.338490841209259,16.0,4.001108829420126,0.8231103214736928,6.0
random,dot_product,9,10.613211936788693,,6.084883571389604,0.7683619452790861,7.000000000000001
random,dot_product,10,10.633663967360995,,9.123078333480466,0.8137112985543296,6.0
random,dot_product,11,10.638201473886108,,5.614532636988184,0.8749156965061621,7.000000000000001
random,dot_product,12,8.862803497090306,,7.229279390420029,0.8302755064670537,5.0
random,dot_product,13,9.22927082691761,14.0,3.3843976909649944,0.6704605902273288,7.000000000000001
random,dot_product,14,9.731358444434276,,5.504721487092815,0.7569551458583126,10.0
random,dot_product,15,11.74562165374254,,11.345056454748219,0.8749770795811488,6.0
random,dot_product,16,10.420278996960972,,7.610549365443667,0.7311981330090942,11.0
random,dot_product,17,8.586226225333565,,7.323372697531526,0.8075853170474292,6.0
random,dot_product,18,10.18812179094576,12.0,4.024151378421957,0.8101842468903847,9.0
random,dot_product,19,11.1590381552015,39.0,4.463369492737412,0.8769105936445034,7.000000000000001
random,dot_product,20,12.347344784929426,15.0,3.1856753975468615,0.7444533527184606,4.0
random,dot_product,21,10.358177304011893,13.0,3.80573951024677,0.8243342270893043,3.0
random,dot_product,22,9.21836845005579,31.0,4.875660721288941,0.7174132362380418,12.0
random,dot_product,23,8.776553012442822,14.0,3.4946205196028144,0.8405200827805819,5.0
random,dot_product,24,13.193612244452016,,7.100565165522707,0.8838220264295353,4.0
random,dot_product,25,10.917574975492057,26.0,3.710337359925269,0.9104170560164477,5.0
random,dot_product,26,7.716671277846435,6.0,4.418011546488502,0.77673973925326,4.0
random,dot_product,27,12.657659301014577,,10.508259489267198,0.9096628014154371,8.0
random,dot_product,28,9.760258762663916,26.0,4.876017786889869,0.8456533741950261,9.0
random,dot_product,29,9.816039183320983,,5.58041232027688,0.7692639371593286,4.0
random,dot_product,30,10.917521763460392,21.0,4.860574776755021,0.8488443989317828,9.0
random,dot_product,31,14.370998261696725,,5.828947691557524,0.8654072886132845,3.0
random,dot_product,32,10.24589779714685,14.0,3.755506482415341,0.7789017026016462,4.0
random,dot_product,33,10.009224125761902,13.0,3.3236042154247945,0.6379912769200426,8.0
random,dot_product,34,11.339563565458501,,5.389193214995312,0.9037843447736384,8.0
random,dot_product,35,10.694300451782029,39.0,4.454905993319362,0.8455753444688335,14.000000000000002
random,dot_product,36,11.980229985033866,16.0,3.749752531814771,0.809681721806802,5.0
random,dot_product,37,9.4347487959554,12.0,4.536744320179221,0.8319817454246221,9.0
random,dot_product,38,6.978960141643896,6.0,4.968545634817827,0.832398407561894,7.000000000000001
random,dot_product,39,9.604251675118032,10.0,2.590117980100213,0.7698257382699806,2.0
random,dot_product,40,10.979049527278706,,6.294962105671214,0.8189401456478138,7.000000000000001
random,dot_product,41,9.408215295285277,,6.1916464311776975,0.7486673117470727,6.0
random,dot_product,42,10.28765157219773,11.0,4.22003818766737,0.708536698911901,8.0
random,dot_product,43,8.627181571827672,12.0,4.5228945895665555,0.790235006164753,12.0
random,dot_product,44,10.007529914207058,,5.827742932074121,0.6744420289584733,9.0
random,dot_product,45,11.736722537866555,21.0,3.7899157555145946,0.7139010147954881,8.0
random,dot_product,46,9.757157539680975,,5.9799891509156184,0.8404197765777206,5.0
random,dot_product,47,8.634690691276376,,7.3461449402116665,0.8765929959669888,3.0
random,dot_product,48,11.76599412658339,,6.417512854331783,0.6296510551222536,8.0
random,dot_product,49,12.689138986634003,,7.009092658128056,0.9511240278309137,7.000000000000001
random,cosine_similarity,0,13.227006911715202,24.0,3.979447837587012,0.808427135210586,5.0
random,cosine_similarity,1,10.510306700705122,,6.70646345436591,0.9527152810002171,11.0
random,cosine_similarity,2,11.895370995530543,22.0,4.192164830943053,0.9184229771409341,3.0
random,cosine_similarity,3,9.321719635022143,9.0,2.8258779549695254,0.8322551618775349,3.0
random,cosine_similarity,4,13.33632626443434,90.0,4.940215574883919,0.9545406321153518,4.0
random,cosine_similarity,5,10.848516867773409,18.0,5.439873984588679,0.9034832857389196,14.000000000000002
random,cosine_similarity,6,11.51831914371833,39.0,4.599215503870315,0.8705687673655295,9.0
