Compared to song:,I'm Your Puppet by James & Bobby Purify

song_name,song_artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,average
Stand by Me,Ben E. King,53.300000000000004,94.4,79.0,99.89370699999999,51.96999999999999,98.22500000000001,99.27,89.25454545454545,100,85.7,85.10132524545455
My Girl,The Temptations,46.8,86.6,90.19999999999999,99.893,54.50999999999999,96.06666666666668,99.71,95.39181818181818,100,94.6,86.37714848484849
Ain't No Mountain High Enough,Marvin Gaye,67.30000000000001,95.7,91.60000000000001,99.893,63.3,95.84666666666668,100.0,83.835,100,94.8,89.22746666666669
What's Going On,Marvin Gaye,65.6,57.699999999999996,80.0,99.893,84.8,97.91000000000001,93.34,51.12181818181818,100,92.0,82.23648181818182
You Can't Hurry Love,The Supremes,80.4,92.4,80.5,99.893,53.03,98.39666666666666,98.48,98.87090909090908,100,91.10000000000001,89.30705757575757
(Sittin' On) the Dock of the Bay,Otis Redding,41.89999999999999,93.69999999999999,85.1,99.89462,53.0,95.25333333333334,99.92,95.82136363636364,100,78.7,84.3289316969697
A Change Is Gonna Come,Sam Cooke,38.0,50.6,86.7,99.893,74.8,97.17833333333334,99.72999999999999,63.92636363636364,0,70.39999999999999,68.1227696969697
Chain of Fools,Aretha Franklin,91.73,99.5,84.39999999999999,99.89354,96.7,96.955,100.0,89.7540909090909,100,85.2,94.4132630909091
I Heard It Through The Grapevine,Marvin Gaye,83.1,99.5,84.6,99.893,57.599999999999994,95.87833333333334,99.39,89.60954545454544,100,86.8,89.63708787878787
Let's Stay Together,Al Green,52.1,95.0,88.5,99.007,50.30999999999999,96.12666666666667,97.94,96.57909090909091,100,76.6,85.21627575757576
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,85.8,96.10000000000001,91.7,99.893,55.599999999999994,99.14,99.71,84.76954545454545,100,77.7,89.04125454545456
Under the Boardwalk,The Drifters,19.499999999999996,95.89999999999999,71.0,99.9098,55.599999999999994,91.23833333333334,99.06,86.65272727272728,100,97.0,81.58608606060606
Reach Out I'll Be There,Four Tops,92.23,90.10000000000001,91.7,99.893,63.7,99.11666666666667,99.62,88.44818181818181,100,98.7,92.35078484848484
Sweet Soul Music,Arthur Conley,99.9,88.4,85.7,99.893656,80.5,97.84833333333334,96.23,93.53318181818182,100,78.3,92.03051711515151
"It's A Man's, Man's, Man's World - Single Version / Mono",James Brown,31.499999999999993,92.30000000000001,91.3,99.9325,51.91999999999999,97.55666666666666,99.56,94.20318181818182,0,81.89999999999999,74.01723484848485
