Compared to song:,I'm Your Puppet by James & Bobby Purify

song_name,song_artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,average
You Don't Love Me,James & Bobby Purify,80.3,99.9,81.7,99.9461,99.4,99.94333333333333,98.4,99.47863636363637,100,80.9,93.99680696969696
Stoned Out Of My Mind,The Chi-Lites,98.7,98.7,82.60000000000001,99.89320699999999,84.7,99.04166666666667,99.42,94.84181818181818,100,95.7,95.35966918484849
Ain't No Woman - Levi's Mix,Four Tops,85.1,95.2,96.0,99.893,81.0,98.54833333333333,99.79,98.24954545454545,100,91.4,94.51808787878787
I Really Love You,Dee Dee Sharp,92.60000000000001,81.60000000000001,89.60000000000001,99.893,93.69999999999999,99.14,99.38,97.17318181818182,100,94.1,94.71861818181817
Brother Louie,Stories,99.8,99.1,98.2,99.97500000000001,57.9,98.71833333333335,99.00999999999999,95.75363636363636,100,89.8,93.82569696969696
I Belong To You,Love Unlimited,74.5,89.2,98.9,99.998,98.70000000000002,97.585,99.9,99.57000000000001,0,78.4,83.67530000000001
I'm Your Puppet,James & Bobby Purify,94.14,94.60000000000001,95.39999999999999,98.677,96.80000000000001,94.41166666666668,100.0,99.95545454545453,100,98.7,97.26841212121212
I Can Be Cool,Bob & Gene,98.06,71.7,96.5,99.893,61.4,97.96166666666667,99.21,99.72954545454546,100,99.6,92.40542121212123
On A Sunday Afternoon,Lighter Shade Of Brown,95.0,88.8,91.9,99.893,78.8,98.31500000000001,78.5,99.815,100,86.6,91.76230000000001
Just To Keep You Satisfied,The Monitors,78.0,77.4,97.6,99.893647,98.3,98.565,99.56,96.07227272727273,100,81.10000000000001,92.64909197272728
So This Is Our Goodbye,The Moments,96.36,88.4,87.9,99.893,72.7,99.88333333333333,95.6,92.60409090909091,100,88.4,92.17404242424242
I Belong To You,Love Unlimited,68.7,87.7,95.89999999999999,99.998,97.60000000000001,97.74833333333332,99.82,99.80727272727272,0,77.5,82.47736060606061
Casanova (Your Playing Days Are over),Ruby Andrews,94.5,74.10000000000001,97.6,98.357,91.8,97.16166666666666,99.64,96.54909090909092,100,92.0,94.17077575757575
We're Finally Gonna Make It,James & Bobby Purify,96.3,93.0,97.1,99.893,59.699999999999996,99.46333333333332,99.27,97.98545454545456,100,79.3,92.20117878787879
More Bounce to the Ounce,Zapp,97.89999999999999,85.6,69.80000000000001,99.97200000000001,79.8,99.59166666666668,94.16,95.07363636363635,100,90.9,91.2797303030303
Searching For My Love,Bobby Moore & The Rhythm Aces,89.60000000000001,98.8,93.6,99.933,60.099999999999994,96.63000000000001,96.28999999999999,98.41136363636363,100,94.8,92.81643636363636
Float On - Single Version,The Floaters,84.8,88.4,79.80000000000001,99.893586,55.99999999999999,99.73666666666668,99.55000000000001,99.03454545454544,100,88.0,89.52147981212121
Selfish One,Jackie Ross,53.2,95.4,99.3,99.893,87.99999999999999,99.39166666666667,99.15,90.12363636363636,100,95.19999999999999,91.9658303030303
Stranger at My Door,Fuller Bros.,56.599999999999994,99.6,93.19999999999999,99.94800000000001,84.2,97.22166666666668,99.48,99.10681818181818,100,82.8,91.21564848484847
(It's The Way) Nature Planned It,Four Tops,56.39999999999999,87.1,91.2,99.68900000000001,52.839999999999996,99.94333333333334,99.83,99.03045454545455,100,97.3,88.33327878787878
