Grouping Function,Evaluation Function,Run,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Final Points,Shapley Values,Inverted Pearson
random,l2_norm,0,11.261974543480566,,5.603159816132627,0.8998986675434392,"[-2.9243504  -1.26760883 -1.29701952  8.61098657  0.83896815 -2.76957726
 -2.97986876 -0.12128792  1.49841506  0.22563747]","[ 0.56009034 -0.05186753  0.57970836  2.15455189  0.71427856  0.27395493
  0.4130939   0.37151639  0.81141749  0.52647285]",1.1112362269963343
random,l2_norm,1,7.3033012002722435,4.0,3.5575416961796127,0.5902698820841024,"[4.1708115  4.59027362 3.19921284 3.46744753 2.81048675 3.96396797
 3.431802   3.86985987 4.31680311 3.08453645]","[ 1.58465028  1.74588899  0.8341914   0.37874011 -0.15666631  0.84196874
  1.62715316  1.24821908  1.28705572  1.51571337]",1.6941403082760012
random,l2_norm,2,6.539352438714763,3.0,1.7533778565323217,0.8628631356332168,"[3.42691374 2.04833676 2.41971584 0.84061139 1.88557385 4.30782009
 3.97380807 5.49779849 3.31150744 2.53160524]","[ 1.54439544  1.27418565  0.76773341 -0.4110039   0.22510276  1.92834284
  1.85574535  1.9977464   1.58288932  1.58750941]",1.1589323482525935
random,l2_norm,3,9.806410614679777,42.0,4.461486292675312,0.8664034030471705,"[ 1.90124559  0.9006623   1.37875429  1.70129987  6.5859271  -0.17459247
  0.21784599  2.29469474  0.37434588 -0.21446777]","[ 0.86678486 -0.04864518  0.60543664  0.95727148  2.2868564   0.46639212
  0.700261    0.72393816  0.42785172  0.70809775]",1.154196759249751
random,l2_norm,4,10.36788771155944,,8.85325304131611,0.9441097442938837,"[0.54069339 0.26447654 1.64458509 1.93153473 1.96088229 0.44848287
 0.81717599 0.58362569 0.42646228 2.47467424]","[-0.13059591 -0.53261324  0.39734244  0.57094121  0.35366762 -0.0653477
  0.06716816 -0.14245197 -0.22470876  0.58506381]",1.0591988972086266
random,l2_norm,5,10.99518318290018,21.0,4.268406662916775,0.854195708681764,"[5.38847529 3.57518717 3.89390562 5.67226377 4.28446246 4.25922265
 7.9288846  6.81443067 3.81135151 6.37707829]","[1.03778363 0.27495105 0.28955944 0.48398164 0.21375373 0.92638525
 1.506674   1.25839572 0.5294666  1.27794575]",1.1706919033148133
random,l2_norm,6,11.258881635362302,15.0,3.3770251399427544,0.8896790166717452,"[8.00018431 5.53317914 6.6613929  4.23662881 3.36334015 3.61713565
 3.61229432 7.90055819 5.1565234  5.81209753]","[ 1.93883173  1.11999452  1.57536018  0.70015605 -0.11837827  0.16126558
  1.21064695  2.2512538   1.27634794  1.42029989]",1.1240008826340104
random,l2_norm,7,8.85059801632519,34.0,4.555367276355937,0.7941983861336245,"[-0.64381247  0.92877945 -0.12814547  1.2956098   5.37203545 -0.4787976
  0.95362973 -0.58550313 -0.01155421 -0.0170578 ]","[ 0.86678486 -0.04864518  0.60543664  0.95727148  2.2868564   0.46639212
  0.700261    0.72393816  0.42785172  0.70809775]",1.259131241588483
random,l2_norm,8,9.979490126088999,9.0,3.982114500803937,0.8321462683023444,"[6.29042713 6.79932064 4.04987911 4.39094872 3.31574683 5.3943856
 5.36596699 4.54757615 5.8601034  5.21921221]","[ 1.58465028  1.74588899  0.8341914   0.37874011 -0.15666631  0.84196874
  1.62715316  1.24821908  1.28705572  1.51571337]",1.2017118120833405
random,l2_norm,9,9.81284397850132,15.0,4.259449515947827,0.876560322741191,"[5.11007351 3.04651949 3.25147042 4.57609614 3.70125781 4.0572204
 6.3308597  5.36794393 2.79229303 5.16972882]","[1.03778363 0.27495105 0.28955944 0.48398164 0.21375373 0.92638525
 1.506674   1.25839572 0.5294666  1.27794575]",1.1408227979938526
random,l2_norm,10,9.485847739825305,14.0,2.6202447075287743,0.8199015440927416,"[5.3713886  2.33319269 3.64284041 1.6216939  1.22860676 1.51943772
 1.47868406 7.9343282  2.49698836 2.41472671]","[ 1.93883173  1.11999452  1.57536018  0.70015605 -0.11837827  0.16126558
  1.21064695  2.2512538   1.27634794  1.42029989]",1.2196586373142466
random,l2_norm,11,9.66755545410387,,5.265791342773608,0.9489511459162262,"[-3.97215846e-01 -2.00084211e+00 -1.46488588e+00  5.38111870e+00
 -8.86303951e-01 -1.09893091e+00  1.72404762e-03 -8.98371122e-01
  9.49900226e-01 -1.36370161e-01]","[ 0.56009034 -0.05186753  0.57970836  2.15455189  0.71427856  0.27395493
  0.4130939   0.37151639  0.81141749  0.52647285]",1.0537950286518547
random,l2_norm,12,9.445277673208723,9.0,2.229863391961411,0.8562194828868607,"[4.62889791 3.93854314 7.07327221 2.76264142 2.5857336  2.44733444
 3.66773396 8.02728328 4.2759334  3.74856501]","[ 1.75109547  1.01330488  1.77792711  0.4824254   0.00699073 -0.00749829
  1.44102838  2.22191314  1.09738248  1.33561707]",1.1679248370153452
random,l2_norm,13,8.183087421580153,7.0,1.8651994144442017,0.828878440174268,"[3.5037048  1.89407765 3.45316366 1.65126952 1.45849904 0.67905214
 4.39452924 7.77341287 2.56931667 2.01957141]","[ 1.75109547  1.01330488  1.77792711  0.4824254   0.00699073 -0.00749829
  1.44102838  2.22191314  1.09738248  1.33561707]",1.2064495244800364
random,l2_norm,14,7.585770690330983,7.0,4.030798553757697,0.8303409862856614,"[3.79297544 4.3622746  2.20932892 2.15337293 1.72130257 3.60132229
 3.58803261 2.8466539  2.59411785 3.34032299]","[ 1.58465028  1.74588899  0.8341914   0.37874011 -0.15666631  0.84196874
  1.62715316  1.24821908  1.28705572  1.51571337]",1.2043245082640917
random,l2_norm,15,7.637695808634023,7.0,1.8189372030297684,0.79230917381044,"[3.44526823 1.63112849 4.84681825 1.53941541 0.65710889 0.57237817
 1.56905162 7.17177031 1.06899916 0.9988875 ]","[ 1.75109547  1.01330488  1.77792711  0.4824254   0.00699073 -0.00749829
  1.44102838  2.22191314  1.09738248  1.33561707]",1.2621335623197645
random,l2_norm,16,8.514236982145382,11.0,2.4917263541106762,0.8333166272963783,"[ 4.65417948  0.70317253  2.58246824  1.46231982 -0.40204767 -0.04743088
  1.25351489  6.87963911  1.32211574  0.51756022]","[ 1.93883173  1.11999452  1.57536018  0.70015605 -0.11837827  0.16126558
  1.21064695  2.2512538   1.27634794  1.42029989]",1.2000240571754952
random,l2_norm,17,8.537628537728935,6.0,2.095449175594608,0.7717636586695565,"[5.61053531 7.03846944 6.49541693 4.5821811  6.28722174 4.24082904
 5.67990172 5.91207597 5.21296431 6.07561133]","[ 1.41001791  1.3689839   1.41799955  0.31481916  0.87953476 -0.0293786
  1.42642617  1.22430507  1.19301397  1.32540947]",1.2957334655066555
random,l2_norm,18,11.132492119395385,,5.453524165316567,0.8800732609939297,"[4.08078175 2.56259216 1.14837594 1.77559581 1.99544615 6.65426844
 2.89605593 2.97926546 5.61674794 4.32477293]","[ 1.68923263  0.88738372  0.22997252 -0.12960458  0.11225477  2.02029103
  1.3802349   1.35531958  1.8592656   1.67442323]",1.1362690406826228
random,l2_norm,19,11.92599922491778,50.0,4.477310878554522,0.9246083339133073,"[2.98293763 0.75024656 1.57270987 4.97786539 9.82867637 0.94577285
 2.68709914 3.69804589 1.68293272 0.48271357]","[ 0.86678486 -0.04864518  0.60543664  0.95727148  2.2868564   0.46639212
  0.700261    0.72393816  0.42785172  0.70809775]",1.0815390293613356
random,l2_norm,20,10.87998416256935,,5.21207421717828,0.8763492224644958,"[2.84309329 1.43530965 0.71806554 1.01212838 1.09870882 5.83993193
 2.10013829 2.74102629 5.09508082 4.47933843]","[ 1.68923263  0.88738372  0.22997252 -0.12960458  0.11225477  2.02029103
  1.3802349   1.35531958  1.8592656   1.67442323]",1.1410976062576628
random,l2_norm,21,11.99017989662119,17.0,3.0066373855850377,0.8527188680140151,"[8.54350716 5.47975129 6.45242852 4.74005308 3.54899865 3.06091187
 4.39567121 9.96819155 4.84683374 4.25689438]","[ 1.93883173  1.11999452  1.57536018  0.70015605 -0.11837827  0.16126558
  1.21064695  2.2512538   1.27634794  1.42029989]",1.172719447769466
random,l2_norm,22,7.523734254558849,,5.071472701233307,0.8572389473686731,"[ 1.55669102 -0.47781481 -0.42568897 -0.31949761 -0.10179346  3.2006489
  0.80137615  0.26996037  2.55396522  2.33435896]","[ 1.68923263  0.88738372  0.22997252 -0.12960458  0.11225477  2.02029103
  1.3802349   1.35531958  1.8592656   1.67442323]",1.1665358918531843
