Grouping Function,Evaluation Function,Run,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Final Points,Shapley Values
random,l2_norm,0,9.612500348934914,,5.114045550609693,0.9675472527702477,"[ -0.2930127   -5.34313017 -10.20813496 -10.12836999 -11.59897583
   5.14630008  -3.2296235   -2.56517351  -0.09233568   0.34734991]","[ 1.68923263  0.88738372  0.22997252 -0.12960458  0.11225477  2.02029103
  1.3802349   1.35531958  1.8592656   1.67442323]"
random,l2_norm,1,11.302745894167295,,5.418619080681754,0.9885423789368967,"[ 2.54593608e+00 -3.84410756e+00 -8.90941714e+00 -1.01731742e+01
 -8.25980116e+00  6.68429566e+00 -5.95367641e-01 -7.92139616e-03
  5.19254599e+00  4.26126861e+00]","[ 1.68923263  0.88738372  0.22997252 -0.12960458  0.11225477  2.02029103
  1.3802349   1.35531958  1.8592656   1.67442323]"
random,l2_norm,2,8.829164434960731,7.0,1.576646262908997,0.864798001480125,"[ 4.25701371  0.5596219   5.19125922 -1.29317882 -1.94031775 -1.55183491
  4.90131311  8.30118847  0.61985254 -1.54426573]","[ 1.75109547  1.01330488  1.77792711  0.4824254   0.00699073 -0.00749829
  1.44102838  2.22191314  1.09738248  1.33561707]"
random,l2_norm,3,11.18659623823523,23.0,4.4137607688969736,0.8862556909802278,"[ 4.17729729 -0.48398173 -0.36082634  3.88389207  7.80746914  1.30768244
  2.62330993  4.16209674 -0.27222315  1.63985291]","[ 0.86678486 -0.04864518  0.60543664  0.95727148  2.2868564   0.46639212
  0.700261    0.72393816  0.42785172  0.70809775]"
random,l2_norm,4,12.46640554090162,,8.572141137245284,0.9930111362542389,"[-2.37661548 -5.55666182  2.95498827  4.08768228  2.15597136 -2.34812304
 -1.33197717 -2.49169944 -3.60983284  4.29826945]","[-0.13059591 -0.53261324  0.39734244  0.57094121  0.35366762 -0.0653477
  0.06716816 -0.14245197 -0.22470876  0.58506381]"
random,l2_norm,5,9.862655379173287,14.0,3.8196638414686026,0.8421553951627785,"[ 2.82464786e+00 -2.94422649e-01 -4.40173995e-03  4.22794126e+00
  1.35511286e+00  2.22203317e+00  6.87026096e+00  4.83177202e+00
 -3.22988792e-01  5.94433606e+00]","[1.03778363 0.27495105 0.28955944 0.48398164 0.21375373 0.92638525
 1.506674   1.25839572 0.5294666  1.27794575]"
random,l2_norm,6,13.256026129737698,28.0,4.4100143220938355,0.9110295589090484,"[ 5.94097524  0.66125345  1.4213725   5.48871801 10.07448279  1.78622223
  2.60610678  4.7185871   0.11429083  2.62924798]","[ 0.86678486 -0.04864518  0.60543664  0.95727148  2.2868564   0.46639212
  0.700261    0.72393816  0.42785172  0.70809775]"
random,l2_norm,7,9.801834845941878,,5.0315065022323555,0.9756254427144162,"[ -1.67795673  -6.76160368  -8.57823613 -13.94026949 -12.43117844
   5.02021334  -1.87162262  -0.96249325   3.35527582   1.89404403]","[ 1.68923263  0.88738372  0.22997252 -0.12960458  0.11225477  2.02029103
  1.3802349   1.35531958  1.8592656   1.67442323]"
random,l2_norm,8,10.567882507554987,8.0,1.5164711134921958,0.8721505500044163,"[ 5.6831689   2.65059289  4.01112833 -0.92147586  0.8718558   8.37398227
  4.79239447  8.86685178  5.21181624  3.18004058]","[ 1.54439544  1.27418565  0.76773341 -0.4110039   0.22510276  1.92834284
  1.85574535  1.9977464   1.58288932  1.58750941]"
random,l2_norm,9,11.333365490039604,,8.55585200681148,0.9253549303620137,"[-0.63940275 -0.16396278  2.27615439  3.53701661  2.3924466  -0.1807811
  0.88225286  0.20876288  0.01785239  2.95343072]","[-0.13059591 -0.53261324  0.39734244  0.57094121  0.35366762 -0.0653477
  0.06716816 -0.14245197 -0.22470876  0.58506381]"
